DOSTAWCY,LOKALIZACJA,ODBIÓR,SPOSÓB,MAILE / STRONY,DODATKOWE,ZAPAS,INTERWAL,STATYSTYKI
3D Jake (niceshops),ZAGRANICA,BRAK,PRZEZ INTERNET,https://www.3djake.pl/,login: aleksandra.stupczynska@mikran.com · hasło: Mikran.pl,4 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Activeshop,POLSKA,BRAK,PRZEZ INTERNET,https://b2b.activeshop.com. pl/customerb2b/account/login/ login: aleksandra.stupczynska@mikran.com,hasło: Mikran.pl2025,1 MIESIĄC,3,ŁĄCZNIE
Adammed,POLSKA,BRAK,MAILOWO,sklep@adammed.pl,,2 MIESIĄCE,7,ŁĄCZNIE
Airpress Polska,POLSKA,BRAK,MAILOWO,bok@airpress.pl,Kompresory,W RAZIE POTRZEBY,,ŁĄCZNIE
Al Dente,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,Kristina.Huelsebus@aldente.de,,3 MIESIĄCE,6,ŁĄCZNIE
AllDentPharm,POLSKA,BRAK,MAILOWO,info@alldentpharm.pl,,W RAZIE POTRZEBY,,ŁĄCZNIE
Altermedia,POLSKA,BRAK,MAILOWO,biuro@altermedia.com.pl,Dental Navi,W RAZIE POTRZEBY,,ŁĄCZNIE
Amadar,POLSKA,BRAK,MAILOWO,k.lesinska@amadar.pl,,1 MIESIĄC,3,ŁĄCZNIE
Ambident,POLSKA,BRAK,MAILOWO,ambident@ambident.eu,,2 MIESIĄCE,6,ŁĄCZNIE
AMD Dentech,POLSKA,BRAK,MAILOWO,biuro@amddentech.com.pl,tel: 504 069 090,1 MIESIĄC,3,ŁĄCZNIE
Anycubic,IMPORT,ZLECAMY ODBIÓR,MAILOWO,vivian.chen@anycubic.com,,PÓŁ ROKU,4 MIESIĄCE,ŁĄCZNIE
AP Dental (Arkona),POLSKA,BRAK,MAILOWO,hurt@apdental.pl,,2 MIESIĄCE,6,ŁĄCZNIE
Apoldent,POLSKA,BRAK,MAILOWO,W RAZIE POTRZEBY,ARS Dental (Nite White) · POLSKA · BRAK · TELEFONICZNIE · 22 617 81 05,2 MIESIĄCE,6,ŁĄCZNIE
ART - DENTAL,POLSKA,BRAK,MAILOWO,biuro@art-dental.pl,Maseczki,W RAZIE POTRZEBY,,ŁĄCZNIE
ARTSTOM,POLSKA,BRAK,MAILOWO,am@artstom.com.pl,Aplikatory,3 MIESIĄCE,6,ŁĄCZNIE
ASA Dental,ZAGRANICA,BRAK,MAILOWO,olga.s.solovyeva@gmail.com,betty@asadental.it,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Assosciated Dental Products (OEM),IMPORT,BRAK,MAILOWO,Steph@kemdent.co.uk,Steph Martin,ROK,PÓŁ ROKU,ŁĄCZNIE
Aswad Insrtuments,IMPORT,ZLECAMY ODBIÓR,MAILOWO,aswadinstruments894@gmail.com,Naseer Ahmed - EXCEL,ROK,4 MIESIĄCE,ŁĄCZNIE
Auto-Vector,POLSKA,BRAK,TELEFONICZNIE,661 309 930,,2 MIESIĄCE,7,ŁĄCZNIE
Ballito Łodź,POLSKA,BRAK,MAILOWO,ballito@lodz.cc,tel. 603790808,2 MIESIĄCE,7,ŁĄCZNIE
Bart Medical,ZAGRANICA,BRAK,MAILOWO,sales@bartmedical.com,Pasquale Matera,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Bausch,ZAGRANICA,BRAK,MAILOWO,order@bauschdental.de,,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
BIALL,POLSKA,BRAK,MAILOWO,sebastian.cieslak@biall.com.pl,Lampy L42,W RAZIE POTRZEBY,,ŁĄCZNIE
BioSpace (pipety/szmaciaki),POLSKA,BRAK,PRZEZ INTERNET,https://sklep.bio-space.pl/,,2 MIESIĄCE,6,ŁĄCZNIE
Bredent,POLSKA,KIEROWCA MIKRAN,TELEFONICZNIE,61 874 02 39,,W RAZIE POTRZEBY,61 874 02 39,ŁĄCZNIE
Carlo de Giorgi,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,erica.dipinto@degiorgi.it,,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Ceramiques Refractaires,ZAGRANICA,BRAK,MAILOWO,adv@ceramiques-refractaires.com,zapytania: technique@ceramiques-refractaires. · com,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Cerkall,POLSKA,BRAK,MAILOWO,cerkall@cerkall.pl,,2 MIESIĄCE,6,ŁĄCZNIE
Cerkamed,POLSKA,BRAK,MAILOWO,pawel.stanczyk@cerkamed.pl,,2 MIESIĄCE,6,ŁĄCZNIE
CEZAL / KROMOPAN,POLSKA,BRAK,MAILOWO,tom@cezal.com.pl,,2 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
CHEMA,POLSKA,BRAK,MAILOWO,zbyt@chema.rzeszow.pl,,6,3,ŁĄCZNIE
Chemi Pharm (SRLdental)GILVESTY,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,Inge.Hahn@srl-materials.com,Marek Budny: chemipharm@post.pl,PÓŁ ROKU,3 MIESIĄCE,ŁĄCZNIE
Chifa,POLSKA,BRAK,MAILOWO,magdalena.rozwod@bbraun.com,,2 MIESIĄCE,6,ŁĄCZNIE
Chirmed,POLSKA,BRAK,MAILOWO,s.pluta@chirmed.pl,DW · : info@chirmed.pl,10,2 MIESIĄCE,ŁĄCZNIE
Complete Dental (Deflex),ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,gracias@completedental.cz,Tomas Gracias,W RAZIE POTRZEBY,,ŁĄCZNIE
Deflex,IMPORT,ZLECAMY ODBIÓR,MAILOWO,,,,,ŁĄCZNIE
Deguvest (Lukadent),ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,p.preuss@lukadent.de,sales@lukadent.de,ROK,PÓŁ ROKU,ŁĄCZNIE
Denon Dental,POLSKA,BRAK,MAILOWO,monika.sledziecka@dental.pl,Tel. 0 22 717 58 82,1 MIESIĄC,2,ŁĄCZNIE
Dental Drill,POLSKA,BRAK,MAILOWO,W RAZIE POTRZEBY,,,,ŁĄCZNIE
Dental Flex Italia,ZAGRANICA,BRAK,MAILOWO,gianfranco@dentalflexitalia.eu,Zamawia Szymon,3 MIESIĄCE,6,ŁĄCZNIE
Dentalstore/At-Akcept,POLSKA,BRAK,MAILOWO,adrian@dentalstore.pl,,1 MIESIĄC,3,ŁĄCZNIE
Dentarina UAB (separatory bez trzymadełka),ZAGRANICA,BRAK,MAILOWO,dentarina2012@gmail.com,,ROK,PÓŁ ROKU,ŁĄCZNIE
Dentart (*),POLSKA,BRAK,MAILOWO,dentartkonin@wp.pl,DW: · dentart@wp.pl · na zamówienie,W RAZIE POTRZEBY,,ŁĄCZNIE
Dentex,POLSKA,BRAK,MAILOWO,sklep@dentex.com.pl,Zamawia Natalia,W RAZIE POTRZEBY,,ŁĄCZNIE
Dentsply Sirona (dawny Zhermack),ZAGRANICA,BRAK,MAILOWO,plorders@dentsplysirona.com nowy opiekun: marta.jakubowska@dentsplysirona. com FORMULARZ W EXCEL,,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
DETAX,ZAGRANICA,BRAK,MAILOWO,order@detax.com,NOWY MAIL: order@detax.comSTARY MAIL: · apollonia.goodloe@detax.de,3 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
DFS,ZAGRANICA,BRAK,MAILOWO,Sinisa.Krizman@dfs-diamon.de,buero@dfs-diamon.de,3 MIESIĄCE,5,ŁĄCZNIE
Dokuz Kimuya,IMPORT,BRAK,MAILOWO,hilal.kaya@dokuzkimya.com.tr,,ROK,PÓŁ ROKU,ŁĄCZNIE
Domedic Dental KaVo,POLSKA,BRAK,MAILOWO,biuro@domedicdental.pl,,2 MIESIĄCE,6,ŁĄCZNIE
Dongguan Godsaid Technology,IMPORT,MAILOWO,MAILOWO,sales@godsaid3d.com,żywice Resione,ROK,PÓŁ ROKU,ŁĄCZNIE
Dornwell,POLSKA,BRAK,MAILOWO,info@dornwell.pl,Pani Aneta tel. 509 951 446,2 MIESIĄCE,6,ŁĄCZNIE
DREVE,ZAGRANICA,BRAK,MAILOWO,susanne.justitz@dreve.de,Susanne Justitz,2 MIESIĄCE,1 MIESIĄC,OSOBNO
DREVE ECOSIL 22,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,susanne.justitz@dreve.de,Susanne Justitz,1 MIESIĄC,1 MIESIĄC,ŁĄCZNIE
Dreve Otoplastik,ZAGRANICA,BRAK,MAILOWO,Philipp.Meier@dreve.de,,W RAZIE POTRZEBY,,ŁĄCZNIE
Drillstom,POLSKA,BRAK,MAILOWO,info@drillstom.pl,,2 MIESIĄCE,6,ŁĄCZNIE
Drux,POLSKA,BRAK,MAILOWO,biuro@drux.zgora.pl,tel. kom. 512 009 449,2 MIESIĄCE,6,ŁĄCZNIE
DT Shop,POLSKA,BRAK,MAILOWO,maciej.imbierowicz@dt-shop.com,,2 MIESIĄCE,6,ŁĄCZNIE
Edenta,ZAGRANICA,BRAK,MAILOWO,Iryna.Wetzel@edenta.ch,,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Effegi Brega,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,export@effegibrega.it,,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
EmerItalia,ZAGRANICA,BRAK,MAILOWO,produzione@emeritalia.it,,W RAZIE POTRZEBY,,ŁĄCZNIE
Emichem/Salvemedical,POLSKA,BRAK,MAILOWO,biuro@emichem.pl,Andrzej Matusiak,2 MIESIĄCE,6,ŁĄCZNIE
Equimed (palniki Bunsena),POLSKA,BRAK,MAILOWO,wroclaw@equimed.com.pl,tel: 71 337 00 41,2 MIESIĄCE,5,ŁĄCZNIE
Ernst Hinrichs ( eco gipsy),ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,kristina.Huelsebus@hinrichs-dental.de,,3 MIESIĄCE,6,ŁĄCZNIE
Ernst Hinrichs (materiały),ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,kristina.Huelsebus@hinrichs-dental.de,,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
Eschenbach,POLSKA,BRAK,MAILOWO,Edyta.Rucinska@eschenbach-optik.com,,1 MIESIĄC,1 MIESIĄC,ŁĄCZNIE
EVE,ZAGRANICA,BRAK,MAILOWO,orders@eve-rotary.com,,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
Everall7,POLSKA,BRAK,PRZEZ INTERNET,https://pzi.everall7.pl,login: 720Mikran hasło: )xr$|^TA,1 MIESIĄC,2,ŁĄCZNIE
Fachowiec,POLSKA,KIEROWCA MIKRAN,TELEFONICZNIE,61-66-18-151,,2 MIESIĄCE,7,ŁĄCZNIE
Falcon,POLSKA,BRAK,MAILOWO,hurt@falconmedical.pl,Paweł Kamiński,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
Formed (kamienie),POLSKA,BRAK,MAILOWO,formed.biuro@gmail.com,,1 MIESIĄC,3,ŁĄCZNIE
Formlabs,ZAGRANICA,BRAK,PRZEZ INTERNET,https://wholesale.formlabs.com/pl_en,login:aleksandra.stupczynska@mikran.com H: · Mikran.pl2025,2 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
FUTURE TECHNOLOGY AND DEVELOPMENT,POLSKA,BRAK,MAILOWO,h.shahbazyan@crave3d.pl,Żywice Craftsman,W RAZIE POTRZEBY,,ŁĄCZNIE
Galicja/Meditrans (Fujirock),POLSKA,ZLECAMY ODBIÓR,MAILOWO,stomatologia@servident.pl,DW · : biuro@servident.pl,3 MIESIĄCE,6,ŁĄCZNIE
Gaz do palników,POLSKA,BRAK,MAILOWO,PRZEZ INTERNET https://allegro.pl/oferta/12x-gaz-elico- 300ml-do-napelniania-zapalniczek- zapalarki-palnika-9658067538,allegro,3 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Giedrius Juzenas (Erkodent / Komet),ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,giedrius@mpdental.lt,Giedrius Juzėnas,4 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
Graphenano Dental,ZAGRANICA,BRAK,MAILOWO,virginiaoctavio@graphenanodental.com,,3 MIESIĄCE,1 MIESIĄC,ŁĄCZNIE
Hager Polonia,POLSKA,BRAK,MAILOWO,biuro@hager.com.pl,,W RAZIE POTRZEBY,,ŁĄCZNIE
Hansen Dental / SPOFA Dental,POLSKA,BRAK,MAILOWO,hansen.dental.polen@gmail.com,Roksana 501 148 599,6,3,ŁĄCZNIE
HASS,IMPORT,BRAK,MAILOWO,ewkang@hassbio.com,,ewkang@hassbio.com,Anna Kang,ŁĄCZNIE
Hoffmann's,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,baer@hoffmann-dental.com,Claudia Bär,4 MIESIĄCE,3 MIESIĄCE,ŁĄCZNIE
Hol-Dental Depot,POLSKA,BRAK,MAILOWO,holdental@holdental.pl,,2 MIESIĄCE,5,ŁĄCZNIE
Holtrade / ACETAL,POLSKA,BRAK,MAILOWO,tomek@holtrade.home.pl,,1 MIESIĄC,3,ŁĄCZNIE
Holtrade / Rhein,POLSKA,BRAK,MAILOWO,tomek@holtrade.home.pl,Rhein - najpierw ROKO - jak nie mają to Holtrade,W RAZIE POTRZEBY,,ŁĄCZNIE
Honkong Elegoo,IMPORT,ZLECAMY ODBIÓR,MAILOWO,milly@elegoo.com,DW: kerris@elegoo.com,ROK,4 MIESIĄCE,ŁĄCZNIE
HPdent,ZAGRANICA,BRAK,MAILOWO,kontakt@hp-dent.com,,4 MIESIĄCE,2 MIESIĄCE,ŁĄCZNIE
IKEA,POLSKA,BRAK,PRZEZ INTERNET,ikea.com,login: pawel.nowak@mikran.com · hasło: Mikran123,W RAZIE POTRZEBY,,ŁĄCZNIE
Infoman,POLSKA,BRAK,MAILOWO,slawek@infoman.pl,"zamawiają: KW, DD, SR",W RAZIE POTRZEBY,,ŁĄCZNIE
INLAY / MERZ DENTAL,POLSKA,BRAK,MAILOWO,pawel@inlay.pl,tel. 662 909 205,1 MIESIĄC,3,ŁĄCZNIE
INNPRO (żywice Anycubic),POLSKA,BRAK,PRZEZ INTERNET,https://b2b.innpro.pl/signin.php,login: aleksandra.stupczynska@mikran.com · hasło: #gfiY7ayCBQ#h@L,W RAZIE POTRZEBY,,ŁĄCZNIE
INWESTOR GROUP (3DUV),POLSKA,BRAK,MAILOWO,handel@3duv.pl,,W RAZIE POTRZEBY,,ŁĄCZNIE
IP Division,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,info@ipdent.de,Brigitte De Leo,4 MIESIĄCE,10,ŁĄCZNIE
IP Division ECO,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,info@ipdent.de,Brigitte De Leo,PÓŁ ROKU,2 MIESIĄCE,ŁĄCZNIE
IPD POLAND,POLSKA,BRAK,MAILOWO,tmekich@ipd2004.pl,zamowienia@ipd2004.pl,1 MIESIĄC,3,ŁĄCZNIE
ITW Novadan,POLSKA,BRAK,TELEFONICZNIE,22 751 00 16,office2@novadan.pl,1 MIESIĄC,1 MIESIĄC,ŁĄCZNIE
Ivoclar Vivadent - EXCEL,ZAGRANICA,BRAK,MAILOWO,MBLIOrdersPL@ivoclar.com,"DW · : Natalia.Marcinkowska@ivoclar.com, Anna. · Demucha@ivoclar.com",6,1,ŁĄCZNIE
JK Surgical,POLSKA,KIEROWCA MIKRAN,MAILOWO,biuro@jksurgical.pl,,2 MIESIĄCE,6,ŁĄCZNIE
Kemdent,ZAGRANICA,BRAK,MAILOWO,sales@kemdent.ie,Monica O'Brien,5 MIESIĘCY,2 MIESIĄCE,ŁĄCZNIE
Keystone,ZAGRANICA,ZLECAMY ODBIÓR,MAILOWO,GRusso@keystoneind.com,Grazia Russo,5 MIESIĘCY,4 MIESIĄCE,ŁĄCZNIE
KKD-Top dent,ZAGRANICA,BRAK,MAILOWO,cornelia.schiefeneder@kkd-topdent.de,,2 MIESIĄCE,5,ŁĄCZNIE
